quarter,town,flat_type,median_rent
2017-Q2,PUNGGOL,3-RM,-
2017-Q2,PUNGGOL,4-RM,1800
2017-Q2,PUNGGOL,5-RM,1850
2017-Q2,PUNGGOL,EXEC,-
2017-Q2,QUEENSTOWN,1-RM,na
2017-Q2,QUEENSTOWN,2-RM,1500
2017-Q2,QUEENSTOWN,3-RM,2000
2017-Q2,QUEENSTOWN,4-RM,2600
2017-Q2,QUEENSTOWN,5-RM,2950
2017-Q2,QUEENSTOWN,EXEC,-
2017-Q2,SEMBAWANG,1-RM,na
2017-Q2,SEMBAWANG,2-RM,-
2017-Q2,SEMBAWANG,3-RM,na
2017-Q2,SEMBAWANG,4-RM,1850
2017-Q2,SEMBAWANG,5-RM,2000
2017-Q2,SEMBAWANG,EXEC,2100
2017-Q2,SENGKANG,1-RM,na
2017-Q2,SENGKANG,2-RM,-
2017-Q2,SENGKANG,3-RM,-
2017-Q2,SENGKANG,4-RM,1800
2017-Q2,SENGKANG,5-RM,1900
2017-Q2,SENGKANG,EXEC,2000
2017-Q2,SERANGOON,1-RM,na
2017-Q2,SERANGOON,2-RM,-
2017-Q2,SERANGOON,3-RM,1800
2017-Q2,SERANGOON,4-RM,2300
2017-Q2,SERANGOON,5-RM,2300
2017-Q2,SERANGOON,EXEC,2500
2017-Q2,TAMPINES,1-RM,na
2017-Q2,TAMPINES,2-RM,na
2017-Q2,TAMPINES,3-RM,1700
2017-Q2,TAMPINES,4-RM,2100
2017-Q2,TAMPINES,5-RM,2200
2017-Q2,TAMPINES,EXEC,2450
2017-Q2,TOA PAYOH,1-RM,na
2017-Q2,TOA PAYOH,2-RM,-
2017-Q2,TOA PAYOH,3-RM,1800
2017-Q2,TOA PAYOH,4-RM,2400
2017-Q2,TOA PAYOH,5-RM,2600
2017-Q2,TOA PAYOH,EXEC,-
2017-Q2,WOODLANDS,1-RM,na
2017-Q2,WOODLANDS,2-RM,-
2017-Q2,WOODLANDS,3-RM,1450
2017-Q2,WOODLANDS,4-RM,1800
2017-Q2,WOODLANDS,5-RM,1900
2017-Q2,WOODLANDS,EXEC,2250
2017-Q2,YISHUN,1-RM,na
2017-Q2,YISHUN,2-RM,-
2017-Q2,YISHUN,3-RM,1600
2017-Q2,YISHUN,4-RM,1900
2017-Q2,YISHUN,5-RM,2100
2017-Q2,YISHUN,EXEC,-
